Extraction Index	Sentence Index	DocId	Entity(NP)	Relation	Slotfill(tag)	Sentence
495	2140	AFP_ENG_20080201.0259.LDC2009T13	NULL			Most of his co-accused were released from a Zimbabwean prison in 2005.
496	15495	NYT_ENG_20070227.0136.LDC2009T13	NULL			"From the perspective of cancer prevention, this seems like a clear-cut case in favor of the vaccine," he said.
497	18567	NYT_ENG_20080331.0223.LDC2009T13	NULL			INSURERS CITED AS CAUSE OF CLOGGED SOCIAL SECURITY DISABILITY SYSTEM
498	19108	NYT_ENG_20080716.0084.LDC2009T13	NULL			'But whether he would have proved he could play at a very high level - a consistent level - we''ll never know."'
499	2237	AFP_ENG_20080303.0684.LDC2009T13	NULL			The KOSPI ended down 39.89 points at 1,671.73, after falling to as low as 1,657.79.
500	21526	XIN_ENG_20080401.0263.LDC2009T13	NULL			Around 2 p.m. on March 14, Tanzen allegedly participated in such criminal activities as randomly assaulting passersby, vandalizing properties, looting and arson in the neighborhood of Duosengge Road in the Tibetan capital.
501	3699	AFP_ENG_20081120.0780.LDC2009T13	NULL			Malaysian island may lose heritage status over building row: report
502	19232	NYT_ENG_20080727.0036.LDC2009T13	NULL			(May 18).
503	7110	APW_ENG_20070805.0576.LDC2009T13	NULL			"My revenge is to be here in Israel with daughter and granddaughter," she said.
504	18026	NYT_ENG_20080218.0136.LDC2009T13	NULL			Tip: Worried that your yellow gold vintage jewelry or "something borrowed" will clash with the silver beads on your dress?
505	19682	NYT_ENG_20081005.0087.LDC2009T13	NULL			'MUSIC-JAYZ -- Hip-hop megastar Jay-Z performed a free concert Saturday night at Detroit''s Cobo Arena.'
506	21444	XIN_ENG_20080304.0396.LDC2009T13	NULL			A former union leader, he joined FARC in the 1970s.
507	11698	APW_ENG_20080906.0325.LDC2009T13	NULL			Nigerian president returns home after long trip
508	20648	XIN_ENG_20070524.0346.LDC2009T13	NULL			'Although record low rainfall made most of California''s coastal waters safer to bathe in over the past year by reducing contaminated storm and creek runoff into the ocean, it wasn''t enough to improve potentially risky bacteria levels at some of Los Angeles County''s best known beaches, according to the report published by the Los Angeles Times on Thursday.'
510	2547	AFP_ENG_20080422.0711.LDC2009T13	NULL			The Western Conference playoffs also conclude Tuesday with game seven between Calgary and host San Jose.
511	22179	XIN_ENG_20081124.0160.LDC2009T13	NULL			Chavez called on the electors to stay calm and trust the results to be announced by the Electoral National Council.
512	4364	APW_ENG_20070122.0704.LDC2009T13	NULL			"In the context of a 10-minute presentation I was making an analytical observation, not an official statement."
513	12190	APW_ENG_20081017.0820.LDC2009T13	NULL			'On Friday, the Dow Jones index underperformed Europe''s indexes, trading 46.28 points, or 0.5 percent, lower at 8,932.98 after further evidence emerged that the U.S. is heading for a deep and protracted recession.'
514	8457	APW_ENG_20071104.0155.LDC2009T13	NULL			Protest leaders who recently escaped to Thailand say some still look on the United Nations with hope, but others are deeply disillusioned that it has failed to be more forceful in dealing with the generals.
515	17295	NYT_ENG_20071123.0006.LDC2009T13	NULL			Several local officials have said that pressure from the rising water is a factor in many, if not all, the recent landslides.
516	12182	APW_ENG_20081017.0245.LDC2009T13	NULL			That purchase will give it a 9.9 percent stake in the investment bank.
517	6770	APW_ENG_20070711.0318.LDC2009T13	NULL			Four North Koreans have entered the Danish Embassy in Vietnam in an apparent bid for asylum, a South Korean activist said Wednesday.
518	12423	APW_ENG_20081112.0142.LDC2009T13	NULL			OTHER TOURNAMENTS
519	13249	LTW_ENG_20070404.0066.LDC2009T13	NULL			At least half of sexually active people will acquire genital HPV virus in their lifetime.
520	6574	APW_ENG_20070623.0029.LDC2009T13	NULL			The latest victim was anti-Syrian lawmaker Walid Eido, who was killed along with his son, two bodyguards and six passers-by last week in a car bombing in Beirut.
521	5283	APW_ENG_20070325.0005.LDC2009T13	NULL			'Abdullah Mahmoud al-Khattab -- MAH''-mood ahl-huh-TAHB'''
523	12287	APW_ENG_20081031.1009.LDC2009T13	NULL			'The company attributed the downgrade in part to last week''s government proposal to nationalize private pension funds, which has greatly spooked investors, sending overall confidence in the local markets into a tailspin.'
524	7006	APW_ENG_20070727.0111.LDC2009T13	NULL			An article by Eugene J. Mahon, M.D., a training and supervising analyst at the Columbia Psychoanalytic Institute in New York, for example, offers an intriguing view of "purgatory."
525	15273	NYT_ENG_20070126.0182.LDC2009T13	NULL			U.N. OFFICIAL ADVANCES PLAN THAT COULD MAKE KOSOVO INDEPENDENT
526	8583	APW_ENG_20071116.0635.LDC2009T13	NULL			Entry to the club costs euro70 (US$100), according to its Web site, which shows pictures of an ornate bar and private rooms featuring double beds and huge bath tubs.
527	21542	XIN_ENG_20080401.0263.LDC2009T13	NULL			To date, the deadly riot has claimed the lives of 18 civilians and one police officer.
528	9749	APW_ENG_20080401.0928.LDC2009T13	NULL			Somali gunmen kidnap a British and a Kenyan worker
529	10626	APW_ENG_20080511.0383.LDC2009T13	NULL			BERLIN 2008-05-11 13:03:15 UTC
530	5287	APW_ENG_20070325.0005.LDC2009T13	NULL			'Ali Hassan al-Majid -- ah-LEE'' hah-SAHN'' ahl mah-ZHEED'''
531	7613	APW_ENG_20070907.0462.LDC2009T13	NULL			'Australia has the world''s largest reserves of the atomic resource, but has no nuclear power program of its own.'
532	12174	APW_ENG_20081017.0245.LDC2009T13	NULL			'The filing with the U.S. Securities and Exchange Commission, posted on Blackstone''s Web site, did not require regulatory approval.'
533	15624	NYT_ENG_20070318.0045.LDC2009T13	NULL			When asked about his success while playing with the lead, Irwin stuck his fingers in his ears and said, "La, la, la, la, la, la!"
534	9111	APW_ENG_20080112.0653.LDC2009T13	NULL			"We found explosives, suicide belts and maps of military installations" in their hideouts, he said.
535	8338	APW_ENG_20071025.1505.LDC2009T13	NULL			Kerik is expected to confront the results of the investigation as early as next month -- and it is widely believed he will either be indicted or reach a plea agreement with prosecutors.
536	19365	NYT_ENG_20080820.0167.LDC2009T13	NULL			The concerns of East Montpelier residents are reflected in the Great Lakes Resources compact, a broad water-management agreement already approved by the U.S. Senate and by eight Midwestern states and two Canadian provinces.
537	16710	NYT_ENG_20070824.0098.LDC2009T13	NULL			The airline industry had fought such a requirement, contending that it would be too slow and costly.
538	13206	LTW_ENG_20070404.0066.LDC2009T13	NULL			HPV: How Much Do You Know?
540	13543	LTW_ENG_20070807.0103.LDC2009T13	NULL			Some people tell me it needs to be done annually.
541	3557	AFP_ENG_20081028.0065.LDC2009T13	NULL			German giants Bayern Munich can go third in the table if they pick up their fourth straight win at Eintracht Frankfurt on Wednesday and other results go their way.
542	16209	NYT_ENG_20070602.0129.LDC2009T13	NULL			But in the trial, those who received the shark cartilage extract lived a median of 14.4 months, meaning that half the patients had died by that point.
543	8413	APW_ENG_20071101.1217.LDC2009T13	NULL			"They say that cocaine increases self-confidence and creates a type of euphoria," she said in a statement.
544	15284	NYT_ENG_20070126.0182.LDC2009T13	NULL			If the U.N. Security Council approves the plan, Kosovo is expected to quickly declare its independence and could expect swift recognition from its U.S. and European supporters, even if Serbia rejected such a move.
545	13220	LTW_ENG_20070404.0066.LDC2009T13	NULL			6
547	10496	APW_ENG_20080423.0015.LDC2009T13	NULL			'Michel Veillette -- mee-SHEHL'' vee-YEHT'''
548	18039	NYT_ENG_20080220.0046.LDC2009T13	NULL			JUSTICES MAKE IT TOUGHER TO SUE OVER FDA-APPROVED DEVICES
549	3007	AFP_ENG_20080725.0315.LDC2009T13	NULL			Mila Damianov, a Belgrade native who says she met Karadzic under his assumed name Dragan Dabic at an alternative health seminar in late 2007, denied that their relationship went beyond a professional interest.
550	20889	XIN_ENG_20070930.0121.LDC2009T13	NULL			'The last FWWC goal scored against Germany was in the 2003 Final shortly before the half-time break by Sweden''s Hanna Ljungberg.'
551	6369	APW_ENG_20070608.0911.LDC2009T13	NULL			Japanese automaker Suzuki to build a car assembly plant in Russia
552	20475	XIN_ENG_20070407.0063.LDC2009T13	NULL			Army was called out and curfew imposed in the city of Parachinar, the capital of tribal Kurram Agency, some 290 km west of the capital, Islamabad after the clashes took place on Friday.
553	7906	APW_ENG_20070919.0847.LDC2009T13	NULL			BUSINESS &amp
554	3419	AFP_ENG_20081008.0139.LDC2009T13	NULL			'"But I''m happy the way that I turned back the match and in the end I won 6-1 and that''s really good for my confidence.'
555	18338	NYT_ENG_20080319.0200.LDC2009T13	NULL			'The initiatives are intended to restore an authentic coffeehouse experience to the company''s stores and, in turn, re-energize an ailing stock that has lost half its value in the last 15 months.'
556	14222	LTW_ENG_20080215.0053.LDC2009T13	NULL			Perched nearby, a papier-mache tabby with plastic whiskers and a lush coat of paper strips glares through beaded eyes at a paper microwave.
557	6448	APW_ENG_20070613.1615.LDC2009T13	NULL			Champ Car traditionally has used rolling starts, the generally accepted practice in American racing where the cars already are moving and gaining speed when the green flag is thrown.
558	6742	APW_ENG_20070705.1382.LDC2009T13	NULL			When Carson asked him why he had waited so long to launch his jazz violin career, he replied that he did not want there to be enough time for him to become a has-been, his son said.
559	16133	NYT_ENG_20070527.0200.LDC2009T13	NULL			"I felt a little out of sorts, but I think the biggest thing was just getting some pitches in," Millwood said. "
560	17464	NYT_ENG_20071231.0111.LDC2009T13	NULL			'"It''s that experience, that understanding, not just of what world leaders I went and talked to in the ambassador''s house I had tea with, but understanding the lives of the people like my grandmother who lives in a tiny hut in Africa," he said.'
561	21811	XIN_ENG_20080806.0256.LDC2009T13	NULL			PHNOM PENH, Aug. 7 (Xinhua)
562	1432	AFP_ENG_20070831.0165.LDC2009T13	NULL			The disease has hit livestock in The Netherlands, Germany, Belgium and northern France in the past year after previously being confined to countries on the Mediterranean basin.
564	21047	XIN_ENG_20071111.0220.LDC2009T13	NULL			Following are the Italian Serie A top scorers on Sunday:
565	21656	XIN_ENG_20080515.0315.LDC2009T13	NULL			The military sources just revealed that four temporary bridge had been built Thursday over the Zipingpu reservoir in Dujiangyan City, connecting the city with Yingxiu town.
566	15547	NYT_ENG_20070305.0216.LDC2009T13	NULL			The Bush administration has been thrown on the defensive, and members of Congress have been quick to express outrage.
567	12879	CNA_ENG_20080921.0018.LDC2009T13	NULL			It had maximum sustained winds of 118.8 kph near the center, with gusts reaching 154.8 kph.
568	10853	APW_ENG_20080706.0392.LDC2009T13	NULL			Linda Schuecker, Germany, 9:52:50.
569	357	AFP_ENG_20070213.0296.LDC2009T13	NULL			Republicans last week blocked a 1,600-word bipartisan Senate resolution opposing the new Iraq policy, the first major setback for majority Democrats.
570	3507	AFP_ENG_20081021.0075.LDC2009T13	NULL			Football: Win over Fiorentina puts Bayern on the brink
571	17518	NYT_ENG_20080110.0091.LDC2009T13	NULL			'FOR IMMEDIATE RELEASE DON '' T EXPECT RECENT GUN-CONTROL LAW TO REDUCE NRA '' S INFLUENCE ON CONGRESS'
572	14951	LTW_ENG_20081031.0044.LDC2009T13	NULL			Congress tried to establish a balance.
573	5430	APW_ENG_20070325.0005.LDC2009T13	NULL			'Victor Batarseh -- bah-TAHR''-seh'
574	3257	AFP_ENG_20080915.0273.LDC2009T13	NULL			There were similar drops in other Gulf stock markets, which have already been reeling under yet another correction wave.
575	10544	APW_ENG_20080423.0015.LDC2009T13	NULL			'Wuer Kaixi -- wehr KY''-shee'
576	10990	APW_ENG_20080725.0669.LDC2009T13	NULL			'"There isn''t one player I have spoken to who is comfortable about traveling to Pakistan at the moment," Mills said.'
577	10974	APW_ENG_20080725.0669.LDC2009T13	NULL			'The safety and security of our players is paramount and we won''t compromise on that."'
578	7545	APW_ENG_20070907.0177.LDC2009T13	NULL			'But he said increased activity overseas and recent arrests of militants in Germany reinforce the department''s assessment that the country is currently in a period of increased risk.'
579	19250	NYT_ENG_20080809.0130.LDC2009T13	NULL			'Scheunemann, who has worked for McCain''s campaign since early 2007, took a leave from his firm, Orion Strategies LLC, in March of this year.'
580	14953	LTW_ENG_20081031.0044.LDC2009T13	NULL			The federal government agreed to share the cost of caring for poor illegal immigrants through state-run Emergency Medicaid programs.
581	9189	APW_ENG_20080117.0097.LDC2009T13	NULL			'Complying with the environmental law would "undermine the Navy''s ability to conduct realistic training exercises that are necessary to ensure the combat effectiveness of carrier and expeditionary strike groups," Bush said.'
582	17577	NYT_ENG_20080111.0088.LDC2009T13	NULL			However, the events of the past six months have clearly demonstrated that Bosnia is still not fully prepared to go it alone.
583	9908	APW_ENG_20080413.0540.LDC2009T13	NULL			Antonio Di Natale put Udinese ahead in the 52th minute, before Mirko Vucinic equalized in the 64th.
584	5563	APW_ENG_20070325.0005.LDC2009T13	NULL			'Jon Corzine -- KOHR''-zyn'
585	12223	APW_ENG_20081021.0609.LDC2009T13	NULL			3M posts 3rd-quarter gain on higher sales abroad
586	11764	APW_ENG_20080918.0478.LDC2009T13	NULL			The soldier, who refused to be identified because he was not authorized to speak to the media, said he had seen the bodies, and many were so badly disfigured they had to be buried in closed-caskets funerals.
587	10566	APW_ENG_20080423.0015.LDC2009T13	NULL			Jiang Yanyong --junhg yen-yawng
588	839	AFP_ENG_20070425.0672.LDC2009T13	NULL			26/01/2006: Adelaide Australia won by 5 wkts
589	16423	NYT_ENG_20070625.0073.LDC2009T13	NULL			Taylor arrived in Boston in 1972 and lived here for a decade while studying economics at Chamberlayne Junior College in Newton and Bentley College in Waltham.
590	19537	NYT_ENG_20080915.0021.LDC2009T13	NULL			Girardi squeezed contributions out of Kyle Farnsworth and production from Jose Veras, Edwar Ramirez and Brian Bruney.
591	16639	NYT_ENG_20070723.0163.LDC2009T13	NULL			'But even a highly detailed e-mail or a terse, clipped phone call can offer insights into another person''s personality.'
592	7506	APW_ENG_20070906.0497.LDC2009T13	NULL			'"China''s growth is undeniably good for the world.'
593	17491	NYT_ENG_20080107.0181.LDC2009T13	NULL			Such a fractured field is all Giuliani could have hoped for, said Miller.
594	22160	XIN_ENG_20081118.0182.LDC2009T13	NULL			'The bloc''s associate members include Bolivia, Chile, Colombia, Peru and Ecuador.'
598	13446	LTW_ENG_20070726.0001.LDC2009T13	NULL			Within days, a fatwa was posted online, calling me an infidel and saying that I should be killed.
599	5694	APW_ENG_20070325.0151.LDC2009T13	NULL			Backup goalie Jocelyn Thibault stopped 25 of 26 shots for the Pittsburgh, which snapped a two-game losing streak.
600	7270	APW_ENG_20070815.0586.LDC2009T13	NULL			'It was unclear whether that projection would hold, after Tuesday''s staggering death tolls.'
601	6591	APW_ENG_20070624.0434.LDC2009T13	NULL			The battle began after authorities received a tip that a group of militants had crossed from Pakistan-controlled Kashmir.
602	19279	NYT_ENG_20080818.0153.LDC2009T13	NULL			This month, legislation in the national parliament to set the groundwork for crucial provincial elections collapsed in a bitter dispute over Kirkuk, as Arabs and Turkmens demanded that the Kurds be forced to cede some of their power here.
603	1669	AFP_ENG_20071030.0153.LDC2009T13	NULL			Norway will contribute 60 million kroner to two projects run by the United Nations Development Programme (UNDP), and an additional 70 million kroner to a special rain forest fund.
604	8757	APW_ENG_20071202.0341.LDC2009T13	NULL			KANDAHAR, Afghanistan 2007-12-02 11:46:07 UTC
605	10391	APW_ENG_20080423.0015.LDC2009T13	NULL			'Sunni Muslim -- SOO''-nee'
606	10399	APW_ENG_20080423.0015.LDC2009T13	NULL			'Antonio Taguba -- tah-GOO''-bah'
607	19315	NYT_ENG_20080818.0153.LDC2009T13	NULL			The U.S. military commander here, Col. David Paschal, said he feared that if Baghdad sent in additional troops, Kurdish leaders would retaliate by sending in their own militia from northern Iraq, creating a potentially disastrous confrontation.
608	11434	APW_ENG_20080813.0002.LDC2009T13	NULL			'Russia''s strength stokes immigrant pride.'
609	6255	APW_ENG_20070530.1322.LDC2009T13	NULL			'On Wednesday, Israel''s Security Cabinet said it would continue its two-week-old campaign of airstrikes against cells of Hamas militants firing rockets across the Gaza border.'
611	15059	NYT_ENG_20070104.0284.LDC2009T13	NULL			He said Israeli troops returned fire, but did not initiate it.
612	914	AFP_ENG_20070503.0495.LDC2009T13	NULL			'The base houses a radar station intended for use as part of Washington''s planned missile shield programme.'
613	20181	NYT_ENG_20081227.0061.LDC2009T13	NULL			'Cody''s, in its prime one of the country''s great stores, closed its last outlet in June.'
614	21442	XIN_ENG_20080304.0396.LDC2009T13	NULL			'Bespectacled and bearded Reyes, had been regarded as FARC''s No. 2 leader and a possible successor to the group''s 77-year-old head Manuel Marulanda.'
615	13902	LTW_ENG_20071015.0003.LDC2009T13	NULL			"Plus, the fact that guys are missing arms and have bullet holes and everything else.
616	10522	APW_ENG_20080423.0015.LDC2009T13	NULL			'Jim Weidmann -- WYD''-mun'
617	3322	AFP_ENG_20080917.0380.LDC2009T13	NULL			"When some banking establishments or some credit establishments have committed mistakes, when they have been imprudent, it is not abnormal that one day they pay for the consequences," he said.
618	20384	XIN_ENG_20070206.0133.LDC2009T13	NULL			'The province''s exports grew 31 percent to 101 billion U.S. dollars, and imports surged 25 percent to 38 billion U.S dollars, Wang said'
619	18235	NYT_ENG_20080303.0071.LDC2009T13	NULL			Talking about the Second World War is talking about the Nazis, talking about the Holocaust."
621	6280	APW_ENG_20070531.0102.LDC2009T13	NULL			Wizner said the executive branch has evoked a state secrets defense in similar lawsuits.
622	16798	NYT_ENG_20070824.0204.LDC2009T13	NULL			Like last week, people talk, people think.
624	10042	APW_ENG_20080423.0015.LDC2009T13	NULL			'Barack Obama -- buh-RAHK'' oh-BAH''-muh'
625	20179	NYT_ENG_20081227.0061.LDC2009T13	NULL			Lesser is the publisher of The Threepenny Review, a literary journal.
626	10908	APW_ENG_20080719.0770.LDC2009T13	NULL			Hurricanes Fausto off Mexico, Bertha off New England pose no threat to land
627	15892	NYT_ENG_20070410.0095.LDC2009T13	NULL			An orange has about 50 milligrams of calcium, and so does a handful of almonds.
628	17225	NYT_ENG_20071030.0276.LDC2009T13	NULL			NEW YORK
629	20508	XIN_ENG_20070419.0037.LDC2009T13	NULL			'China''s cultural authorities are introducing a national qualification program for actors, singers and dancers.'
630	9610	APW_ENG_20080302.0793.LDC2009T13	NULL			-- may dissolve the State Duma under procedures envisioned by the constitution
631	21126	XIN_ENG_20071203.0283.LDC2009T13	NULL			'Similarly, there are thousands of people, who became physically disabled after losing their limbs and body parts during a decade long insurgency, still languishing for government''s attention.'
633	4193	APW_ENG_20070111.0138.LDC2009T13	NULL			'But it''s always a quiet refuge, the perfect place to curl up with a good book, listen to the crackle of the fire and watch the softly falling snow deepen outside the door.'
634	21234	XIN_ENG_20080109.0113.LDC2009T13	NULL			4th LD-Writethru-China Focus: China gold futures trading makes strong debut
635	20595	XIN_ENG_20070512.0155.LDC2009T13	NULL			BEIJING, May 12 (Xinhua)
636	3426	AFP_ENG_20081008.0311.LDC2009T13	NULL			Bush to sign US-India nuclear deal law
637	12089	APW_ENG_20081010.0035.LDC2009T13	NULL			Afghanistan has appealed for more NATO help to attack heroin dealers whose thriving trade is blamed for bankrolling the widening insurgency against the pro-Western government and international forces.
638	19504	NYT_ENG_20080915.0021.LDC2009T13	NULL			'For whatever reason or whatever number of reasons, we didn''t get to where we thought we were going to get."'
639	10012	APW_ENG_20080423.0015.LDC2009T13	NULL			'Ido Nehustan -- ee-DOH'' neh-HOHS''-tarn'
640	19385	NYT_ENG_20080820.0167.LDC2009T13	NULL			Replenishment from rain or surface water, or "recharge" as the experts term it, tends to be gradual.
641	6383	APW_ENG_20070608.1166.LDC2009T13	NULL			'"Judge Sauer has instructed the Sheriff''s Department to go to Ms. Hilton''s residence, pick her up and bring her here.'
642	8623	APW_ENG_20071120.1117.LDC2009T13	NULL			'More investment is needed in agriculture but the government''s agrarian reform effort -- assuming control of vast farmlands and offering them to poor farmers -- has made traditional producers reluctant to invest, he said.'
643	5700	APW_ENG_20070325.0151.LDC2009T13	NULL			The 23-year-old Ward missed three games with a laceration on his leg, then relieved John Grahame in a come-from-behind victory over Washington on Thursday.
644	4780	APW_ENG_20070225.0071.LDC2009T13	NULL			Eisenberg, the exterminator, said wiping out vermin is impossible.
645	10159	APW_ENG_20080423.0015.LDC2009T13	NULL			Quds -- kuhdz
647	7706	APW_ENG_20070914.0302.LDC2009T13	NULL			In Bangladesh, volunteers with bullhorns warned villagers to evacuate to higher or inland areas, while local television and radio stations issued warnings as town halls opened control rooms to monitor the situation.
648	15242	NYT_ENG_20070115.0224.LDC2009T13	NULL			'I''m married to a beautiful lady.'
649	6750	APW_ENG_20070711.0103.LDC2009T13	NULL			In Medford, Oregon, the temperature was forecast to hit 105 (40.5 Celsius).
650	17498	NYT_ENG_20080107.0181.LDC2009T13	NULL			'Miller said Giuliani will try to win at least a handful of Michigan''s 60 delegates (30 if the national GOP''s penalties against the state stick), focusing on congressional districts where the campaign''s internal polling shows it has the best chance to win.'
651	16424	NYT_ENG_20070625.0073.LDC2009T13	NULL			He returned in 1984, after being charged with embezzling Liberian government funds, only to be arrested here.
652	7291	APW_ENG_20070815.0586.LDC2009T13	NULL			Demonstrators shouted anti-American slogans and called for an end to what they called random raids and rights violations targeting the movement.
653	21596	XIN_ENG_20080502.0172.LDC2009T13	NULL			SANTIAGO, May 2 (Xinhua)
654	2550	AFP_ENG_20080422.0711.LDC2009T13	NULL			Washington had not met the Flyers in the playoffs in 20 years, since rallying from a 3-1 series deficit to eliminate Philadelphia.
655	12930	LTW_ENG_20070104.0108.LDC2009T13	NULL			Anne Kornblut of the New York Times asked McHenry if his complaint might come across as whining.
656	20970	XIN_ENG_20071023.0036.LDC2009T13	NULL			Two of the three injured died later in the hospital.
657	1218	AFP_ENG_20070729.0031.LDC2009T13	NULL			Tennis: Sharapova makes San Diego title defence return
658	11017	APW_ENG_20080728.0268.LDC2009T13	NULL			The union had sought a pay rise of 9.8 percent this year, and rejected a Lufthansa offer of 6.7 percent spread through February 2010, plus a one-time bonus payment.
659	5117	APW_ENG_20070323.0969.LDC2009T13	NULL			Osman said he heard the sound of an anti-aircraft missile being fired shortly before the crash.
660	16984	NYT_ENG_20070919.0124.LDC2009T13	NULL			But greater clarity was not necessarily a result.
661	3439	AFP_ENG_20081008.0311.LDC2009T13	NULL			She also pushed hard for the agreement to be approved by both Houses of Congress.
662	15141	NYT_ENG_20070108.0110.LDC2009T13	NULL			Forecasts of future continental motion developed slowly as offshoots of the theory of plate tectonics, which won acceptance in the 1960s and 1970s, shattering old dogmas of continental immobility.
663	6509	APW_ENG_20070614.1652.LDC2009T13	NULL			RAFAH, Egypt 2007-06-14 21:17:03 UTC
664	17183	NYT_ENG_20071024.0190.LDC2009T13	NULL			'Giuliani has taken an aggressive position on Iran''s efforts to build a nuclear program, saying last month it was a "promise" that as president he would take military action to keep the Iranians from developing a nuclear weapon.'
665	21920	XIN_ENG_20080903.0351.LDC2009T13	NULL			The Premier presented flowers and bowed three times under the national flag on the campus to mark the victims.
666	5416	APW_ENG_20070325.0005.LDC2009T13	NULL			'Bangui -- bahng-GEE'''
667	1623	AFP_ENG_20071025.0800.LDC2009T13	NULL			Market expectations that the US Federal Reserve will lower its benchmark lending rate at its two-day meeting next week were also making dollar assets less attractive, dealers said.
668	15312	NYT_ENG_20070208.0083.LDC2009T13	NULL			Moving in general news and lifestyle categories.
669	22025	XIN_ENG_20081010.0142.LDC2009T13	NULL			The financial crisis, which originated in the United States, has deepened in Europe in recent weeks, with several European banks falling prey to the global credit crunch, prompting EU governments to save their banks by injecting large amounts of money or even nationalizing them.
670	4638	APW_ENG_20070219.0628.LDC2009T13	NULL			In previous days, Shiite families opened their doors to welcome the troops -- feeling that the American presence would be a buffer against feared attacks from Sunni militia.
671	10806	APW_ENG_20080531.0072.LDC2009T13	NULL			"The forced evictions are part of government efforts to demonstrate that the emergency relief period is over and that the affected population is capable of rebuilding their lives without foreign assistance," Human Rights Watch said.
672	10097	APW_ENG_20080423.0015.LDC2009T13	NULL			'Paso Robles -- PAS''-uh ROH''-bulz'
673	13005	LTW_ENG_20070124.0139.LDC2009T13	NULL			'``We''ve never been through something like this together, but it''s better than going through it alone.'''''
674	20084	NYT_ENG_20081217.0168.LDC2009T13	NULL			'Thomas Donilon, who is expected to be Jones'' deputy'
675	2957	AFP_ENG_20080710.0068.LDC2009T13	NULL			"Almost seven years have passed since that September morning when nearly 3,000 men, women, and children were murdered in our midst," Bush said.
676	7939	APW_ENG_20070919.1310.LDC2009T13	NULL			Did not bat: Rohit Sharma, Harbhajan Singh, Joginder Sharma, Sree Sreesanth, Rudra Singh.
677	15195	NYT_ENG_20070108.0110.LDC2009T13	NULL			Over billions of years, the continents have split and joined repeatedly in a slow dance.
678	9404	APW_ENG_20080214.0227.LDC2009T13	NULL			Bird flu remains hard for people to catch, but health experts worry the virus could mutate into a form that passes easily among humans, sparking a pandemic.
679	12694	APW_ENG_20081209.1278.LDC2009T13	NULL			'Inter''s Brazilian keeper also fumbled a shot by Jurica Vranjes but recovered the ball.'
680	6282	APW_ENG_20070531.0102.LDC2009T13	NULL			The Bush administration has insisted it receives guarantees from countries receiving terror suspects that prisoners will not be tortured.
681	21088	XIN_ENG_20071123.0120.LDC2009T13	NULL			'Lebanon''s presidential election deadline imminent amid doubts'
682	17716	NYT_ENG_20080123.0149.LDC2009T13	NULL			Klitschko is enjoying his training here, where he is surrounded by members of his team.
683	8730	APW_ENG_20071129.0782.LDC2009T13	NULL			'"When somebody is named Muhammad by his parents and then turns out to be a thief, is it an insult to religion to say, ''That Muhammad is a thief''?'
684	10080	APW_ENG_20080423.0015.LDC2009T13	NULL			'Rolandas Paksas -- roh-LAHN''-dahs PAHK''-sahs'
685	10703	APW_ENG_20080521.0637.LDC2009T13	NULL			The militant Hamas that controls Gaza said the wounded Wednesday were civilian bystanders.
686	10971	APW_ENG_20080725.0669.LDC2009T13	NULL			'Collier said England''s players would be consulted before any decision is taken.'
687	12535	APW_ENG_20081118.1030.LDC2009T13	NULL			Inc.
688	4648	APW_ENG_20070219.0628.LDC2009T13	NULL			There has been growing suspicion that militants have posed as Iraqi soldiers in some attacks and ambushes.
689	21461	XIN_ENG_20080312.0202.LDC2009T13	NULL			On Economic, Social and Cultural rights
690	1330	AFP_ENG_20070825.0331.LDC2009T13	NULL			The 28-year-old Kim is 6-6 with a 5.23 ERA in 19 games - 16 starts - with the Colorado Rockies, Marlins and Arizona Diamondbacks this season.
691	16618	NYT_ENG_20070723.0163.LDC2009T13	NULL			The program also cautions not to assume that someone you have trouble communicating with is simply dense or difficult.
692	8099	APW_ENG_20071009.0547.LDC2009T13	NULL			Okruashvili was charged with extortion, money-laundering and abuse of power.
693	16642	NYT_ENG_20070820.0234.LDC2009T13	NULL			RATE HIKE LOOMS FOR MANY TEXAS ALLSTATE POLICYHOLDERS
694	13357	LTW_ENG_20070626.0067.LDC2009T13	NULL			'There are easy steps you can take to go green and lighten your ``carbon footprint.'''''
695	10663	APW_ENG_20080519.0518.LDC2009T13	NULL			India has accused Pakistan-based Islamic militants of involvement in past attacks.
696	19996	NYT_ENG_20081212.0159.LDC2009T13	NULL			Taylor, 59, was killing time at Campus Martius, a town-square- like meeting place in the heart of downtown.
697	21710	XIN_ENG_20080718.0237.LDC2009T13	NULL			'The girls'' hometown was hit by a major earthquake in May in which more than 80,000 were dead or missing.'
698	20143	NYT_ENG_20081227.0061.LDC2009T13	NULL			BARGAIN-HUNTING, AND FEELING SHEEPISH ABOUT IT
699	10448	APW_ENG_20080423.0015.LDC2009T13	NULL			'Judy Topinka -- toh-PIN''-kuh'
700	7468	APW_ENG_20070904.0656.LDC2009T13	NULL			Diego Mendez in San Salvador, El Salvador
701	7993	APW_ENG_20070924.0721.LDC2009T13	NULL			Shahid Afridi c Sreesanth b Irfan Pathan 0
702	7562	APW_ENG_20070907.0227.LDC2009T13	NULL			Charlton says England will struggle unless Premier League limits foreign players
703	15309	NYT_ENG_20070208.0083.LDC2009T13	NULL			RELIGION
704	8746	APW_ENG_20071129.0782.LDC2009T13	NULL			Last year, he vowed to lead a jihad, or holy war, against U.N. peacekeepers if they deployed in the Darfur region of western Sudan.
